feature,coefficient,abs_coefficient,feature_type
right hand,0.23968603655171938,0.23968603655171938,text
right knee,0.09810384648888339,0.09810384648888339,text
right leg,-0.4375217664889518,0.4375217664889518,text
right lower,0.6196111652110734,0.6196111652110734,text
right neck,0.3502892377843142,0.3502892377843142,text
right shoulder,-0.1745912073711523,0.1745912073711523,text
right upper,0.4743707379296845,0.4743707379296845,text
ring,-0.7931225492672682,0.7931225492672682,text
ringing,-0.6885742857902813,0.6885742857902813,text
ringing ears,0.09290696759096212,0.09290696759096212,text
risankizumab,-0.48551792846478714,0.48551792846478714,text
risk,1.2337624290567377,1.2337624290567377,text
risk profile,-0.55676786432694,0.55676786432694,text
ritonavir,-0.33172713175375546,0.33172713175375546,text
ritonavir paxlovid,-0.6392321154932912,0.6392321154932912,text
rn,0.1655328149062939,0.1655328149062939,text
role,-1.061561656501883,1.061561656501883,text
role suspect,-0.8260343751638044,0.8260343751638044,text
root,-0.08629905909129096,0.08629905909129096,text
rosuvastatin,-0.49596354395522496,0.49596354395522496,text
roughly,0.30745486186067006,0.30745486186067006,text
round,-0.25655960290929636,0.25655960290929636,text
route,0.8096374518916017,0.8096374518916017,text
route admin,-0.7727019886332662,0.7727019886332662,text
route administration,-0.6367937570644746,0.6367937570644746,text
route dosage,-0.23545371758403322,0.23545371758403322,text
route milliliter,0.03323443934621278,0.03323443934621278,text
route unspecified,-0.13038041938821027,0.13038041938821027,text
routine,-2.204250574302909,2.204250574302909,text
rr,0.6425931254227096,0.6425931254227096,text
rt,0.4604662671132291,0.4604662671132291,text
rule,-0.00014094857310877166,0.00014094857310877166,text
ruled,0.8555379342396648,0.8555379342396648,text
run,-0.14206933733388227,0.14206933733388227,text
running,-0.4709728474429473,0.4709728474429473,text
runny,-0.6847677101496071,0.6847677101496071,text
runny nose,-0.07738029616323179,0.07738029616323179,text
rx,0.4938276665949985,0.4938276665949985,text
safe,0.038076954440018594,0.038076954440018594,text
safety,0.07641015713324711,0.07641015713324711,text
safety concern,-1.3782907386805323,1.3782907386805323,text
safety evaluation,-0.8060922528513546,0.8060922528513546,text
safety profile,0.06224041510415115,0.06224041510415115,text
said,0.2833898166854219,0.2833898166854219,text
said felt,0.17096022586214274,0.17096022586214274,text
salbutamol,-0.6476625258412292,0.6476625258412292,text
saline,0.6938075242535936,0.6938075242535936,text
sars-cov,0.6976919281787826,0.6976919281787826,text
sars-cov test,0.7746070916440148,0.7746070916440148,text
sat,-0.3551119616070601,0.3551119616070601,text
sats,0.6619393937727361,0.6619393937727361,text
saturation,0.675656171793741,0.675656171793741,text
saturday,0.5594230249245656,0.5594230249245656,text
saw,-0.6427289579481477,0.6427289579481477,text
say,0.037156826787603,0.037156826787603,text
saying,0.4224796495220894,0.4224796495220894,text
