feature,importance,feature_type
jul patient,0.0001975816407374748,text
bnt dose,0.00019627039861449362,text
information batch,0.00019560733544957937,text
lungs,0.00019516259908447194,text
vaccination medical,0.00019511038040612028,text
dec,0.0001941644403628216,text
administered arm,0.00019366818384765789,text
skin,0.00019298577709660704,text
available information,0.0001923807145934722,text
july,0.00019163657265143337,text
intramuscular concomitant,0.00019158403446086988,text
label,0.00019056726232168268,text
vomiting,0.00019026600639469166,text
years-old,0.00018958905471513348,text
cat__STATE_IN,0.00018939040429236809,structured
arm left,0.00018910754018901918,text
pack,0.0001887251139212982,text
ache,0.00018868688979439949,text
considered,0.00018846030005716078,text
dizziness,0.00018781451415526943,text
follow,0.0001876936891971597,text
pain left,0.0001871843362346723,text
visits,0.00018615981378492853,text
batch lot,0.00018603926340672854,text
healthy,0.00018589910472390804,text
reports,0.00018519942255954726,text
tried,0.0001848135002454699,text
went doctor,0.00018337162708783832,text
hypoaesthesia,0.00018320890257921953,text
apr,0.00018318389125014675,text
allergies,0.00018248120341213985,text
patient seen,0.0001822483624331831,text
listed,0.00018220669260670376,text
causal,0.0001818151475824259,text
ago,0.00018127583479680544,text
number unspecified,0.000179122153128357,text
negative,0.0001788967169849131,text
referred,0.0001788080313746026,text
expired,0.00017869440942053607,text
elevated,0.0001785748376863166,text
self,0.00017846957752846199,text
especially,0.0001784179691853876,text
describes,0.00017837260862328954,text
relevant concomitant,0.0001783510346403566,text
deep,0.00017825276343197207,text
measures taken,0.00017819080449993442,text
does know,0.00017776592753461756,text
receive second,0.00017752313909806937,text
mild,0.00017710199298946695,text
ok,0.00017643532544990266,text
unable,0.00017642048772788818,text
event did,0.0001764092442509584,text
trouble,0.00017602818738141467,text
covid immunization,0.00017598334578026648,text
arm feb,0.00017562623215769234,text
cat__STATE_MN,0.00017551722138051652,structured
right arm,0.00017504579249490564,text
consumer concerning,0.0001742781490153352,text
lump,0.00017297442076872287,text
measures,0.0001729558626064785,text
followed,0.00017223646972984102,text
