feature,importance,feature_type
air,0.00015508578065630586,text
blood clots,0.00015481428946918617,text
events detailed,0.00015475382765464985,text
medications patient,0.00015468764932274908,text
elevation,0.00015461465118050141,text
concomitant products,0.00015451899608938784,text
extreme,0.0001544368115862442,text
mod,0.00015426294390640544,text
parenthesis,0.00015398977557165507,text
patient tested,0.000153239488710318,text
hypoxemic,0.00015309748137489151,text
work,0.00015278423000346993,text
local,0.0001524333052564185,text
patient stated,0.00015232500379697513,text
confirmed describes,0.00015161574380064615,text
therapy,0.0001515883282908399,text
refused,0.0001513479108684136,text
events provided,0.00015116187499613346,text
went doctor,0.00015099517631176265,text
pfizer covid,0.00015095400443406094,text
observation,0.0001508177481082408,text
comments concerns,0.00015067527773005964,text
did receive,0.00014952531461081243,text
associated event,0.00014842155664538507,text
nurse,0.00014835246665243756,text
nos,0.0001477316225502051,text
released,0.00014760343094479946,text
received vaccine,0.00014714723539513948,text
known,0.00014698143069722904,text
thrombosis,0.0001466716969806587,text
patient developed,0.00014642453993343808,text
cat__MONTH_6,0.0001460511636400278,structured
tested covid,0.0001458484956284406,text
feeling better,0.00014562616028735676,text
continued,0.00014562100485723066,text
number unspecified,0.00014502522117167355,text
weeks prior,0.00014498014038903174,text
dyspnea,0.00014484371680136633,text
parenthesis available,0.00014481647593397548,text
changed,0.0001445447717074255,text
results normal,0.00014429900957124283,text
vaccine lot,0.00014415228789534486,text
noticed,0.00014358729161017983,text
wrong,0.00014357312937355278,text
information lot,0.00014346761451049253,text
event occurred,0.0001426807356747162,text
month,0.00014261030111623185,text
review appropriate,0.00014223931214588003,text
covid clinical,0.00014151570640989154,text
procedures sars-cov,0.00014058719404024745,text
fine,0.00014023820401932633,text
heart attack,0.00013952148341490986,text
information drug,0.00013903420233752343,text
sleep,0.00013878345143338602,text
runny,0.00013865040373511157,text
total,0.00013846536842955482,text
morning,0.00013840738248417053,text
walk,0.0001378139222870228,text
reports,0.0001378138107872312,text
measures taken,0.00013770144669738427,text
number bnt,0.0001372065864593843,text
known allergies,0.00013658831904999534,text
multiple,0.00013637749084509688,text
pulse,0.00013598735882137234,text
vaccination failure,0.00013578504236885615,text
unexpected event,0.00013536586925272473,text
consumer subsequently,0.0001348674638369068,text
lasting,0.0001347894158106664,text
upper,0.00013473191188272243,text
patient administered,0.00013460265106643606,text
temporal relationship,0.0001344732091257013,text
indication,0.0001344300717780866,text
chest tightness,0.00013417958263416534,text
healthcare,0.00013409280954547283,text
vaccine affected,0.00013359941475127128,text
affected sender,0.00013344703484573854,text
gone,0.00013313309020030218,text
assessment,0.00013292716949198365,text
advised,0.00013291309244176352,text
mild,0.00013290672386268712,text
woke,0.00013280855029844485,text
cat__MONTH_1,0.00013273934995314417,structured
felt better,0.00013235811402439296,text
taste,0.00013168484253007825,text
information provided,0.0001316786192921865,text
right arm,0.00013135147222748702,text
site pain,0.0001313458488549367,text
details,0.0001306240449760894,text
suggestive,0.00013029674501163023,text
bad,0.0001298966689779082,text
covid patient,0.0001297947768333518,text
feels,0.00012978052832346779,text
patient diagnosed,0.00012906132314185657,text
evaluation including,0.00012893153694251193,text
new,0.0001288837986870832,text
rechallenge,0.00012871309404199744,text
suspect,0.00012867046035798838,text
therapeutic,0.00012861335786911279,text
fall,0.00012848965930146162,text
covid breakthrough,0.00012818263339349736,text
ache,0.00012808785235158575,text
care professional,0.00012793062217693118,text
receive vaccines,0.00012760364160156255,text
scientific plausibility,0.0001273064654315564,text
weight,0.00012702966851474692,text
review analysis,0.0001269317761435351,text
family,0.00012661150839766156,text
hands,0.00012652193433381636,text
concerned,0.000126447424258932,text
eye,0.00012639994554942432,text
age years-old,0.0001262701383976993,text
binary__LAB_DATA__inflammation,0.00012522056936250958,structured
paramedics,0.00012516746434427357,text
disorder,0.00012454216421250286,text
rapid,0.0001243422071756744,text
test positive,0.00012399179348451586,text
cat__MONTH_2,0.00012397947216940156,structured
